ANO;LOCALIDAD;SEXO;MIGRANTE;TOTAL_NACIDOS_VIVOS;TOTAL_BPN;PROPORCIÓN
2018;19 - Ciudad Bolívar;Femenino;Sin Informacion;50;9;18.0
2018;08 - Kennedy;Femenino;Sin Informacion;37;5;13.51
2018;05 - Usme;Femenino;Sin Informacion;12;0;0.0
2018;12 - Barrios Unidos;Femenino;Sin Informacion;7;1;14.29
2018;18 - Rafael Uribe Uribe;Femenino;Sin Informacion;14;4;28.57
2018;06 - Tunjuelito;Femenino;Sin Informacion;20;2;10.0
2018;09 - Fontibón;Femenino;Sin Informacion;4;0;0.0
2018;13 - Teusaquillo;Femenino;Sin Informacion;3;0;0.0
2018;14 - Los Mártires;Femenino;Sin Informacion;6;3;50.0
2018;02 - Chapinero;Femenino;Sin Informacion;4;2;50.0
2018;11 - Suba;Femenino;Sin Informacion;12;1;8.33
2018;99 - Sin Información;Femenino;Sin Informacion;2;1;50.0
2018;01 - Usaquén;Femenino;Sin Informacion;1;0;0.0
2018;16 - Puente Aranda;Femenino;Sin Informacion;2;0;0.0
2018;03 - Santa Fe;Femenino;Sin Informacion;4;0;0.0
2018;15 - Antonio Nariño;Femenino;Sin Informacion;1;0;0.0
2018;00 - Bogotá;Indeterminado;Colombiano;6;4;66.67
2018;11 - Suba;Indeterminado;Colombiano;2;1;50.0
2018;03 - Santa Fe;Indeterminado;Colombiano;1;0;0.0
2018;04 - San Cristóbal;Indeterminado;Colombiano;1;1;100.0
2018;08 - Kennedy;Indeterminado;Colombiano;1;1;100.0
2018;07 - Bosa;Indeterminado;Colombiano;1;1;100.0
2018;00 - Bogotá;Masculino;Colombiano;43159;5238;12.14
2018;09 - Fontibón;Masculino;Colombiano;1859;222;11.94
2018;05 - Usme;Masculino;Colombiano;2513;359;14.29
2018;07 - Bosa;Masculino;Colombiano;4485;529;11.79
2018;19 - Ciudad Bolívar;Masculino;Colombiano;4718;581;12.31
2018;10 - Engativá;Masculino;Colombiano;3872;442;11.42
2018;18 - Rafael Uribe Uribe;Masculino;Colombiano;2329;284;12.19
2018;08 - Kennedy;Masculino;Colombiano;6087;731;12.01
2018;11 - Suba;Masculino;Colombiano;6100;679;11.13
